repo,rama_por_defecto,ultimo_commit,dias_sin_commits,commits_30d,commits_90d,commits_365d,autores_distintos,commits_muestreados,ficheros_en_HEAD,tiene_LICENSE,workflows_CI,ficheros_test,tiene_SECURITY_md
confident-ai/deepeval,main,2026-08-25,0,237,643,1615,104,1615,2672,1,17,775,0
continuedev/continue,heads/main,2026-07-20,35,0,24,383,32,383,3058,1,33,148,1
crewAIInc/crewAI,main,2026-08-25,0,100,100,100,10,100,27142,1,14,1006,1
cyclotruc/gitingest,main,2025-08-16,374,0,0,0,20,112,125,1,12,16,1
daaain/claude-code-log,main,2026-08-23,2,9,102,102,5,102,651,1,2,359,0
dagger/container-use,main,2026-08-12,12,7,8,27,23,100,130,1,5,0,0
datalab-to/marker,master,2026-08-07,18,1,34,161,29,927,265,1,4,41,0
davidkimai/Context-Engineering,main,2026-02-26,179,0,0,7,11,123,298,1,4,0,0
davila7/claude-code-templates,main,2026-08-25,0,100,100,100,22,100,9228,1,15,24,1
deepset-ai/haystack,main,2026-08-25,0,100,100,100,23,100,10728,3,33,312,1
direnv/direnv,master,2026-03-31,146,0,0,28,79,266,167,1,5,56,0
disler/claude-code-hooks-mastery,main,2026-02-01,204,0,0,2,1,10,130,0,0,0,0
disler/infinite-agentic-loop,main,2026-03-09,169,0,0,1,2,18,122,0,0,0,0
docling-project/docling,main,2026-08-25,0,100,100,100,39,100,1681,1,13,1154,1
doobidoo/mcp-memory-service,main,2026-08-25,0,174,320,320,13,320,1257,1,1,306,1
dottxt-ai/outlines,main,2026-08-24,1,9,71,100,40,100,298,1,6,64,0
dzhng/deep-research,main,2026-04-11,135,0,0,2,17,77,21,1,0,0,0
e2b-dev/E2B,main,2026-08-25,0,94,102,102,9,102,870,1,14,398,0
e2b-dev/awesome-ai-agents,main,2026-08-21,3,3,5,5,40,258,10,1,0,0,0
e2b-dev/desktop,main,2026-08-17,8,16,41,100,9,100,88,1,8,6,0
ericbuess/claude-code-project-index,main,2025-09-10,348,0,0,1,1,53,16,1,0,0,0
exa-labs/exa-mcp-server,main,2026-08-20,4,13,35,167,21,167,86,1,3,14,0
explodinggradients/ragas,main,2026-02-24,182,0,0,100,18,100,694,1,8,113,1
eyaltoledano/claude-task-master,main,2026-04-23,124,0,0,422,35,544,1254,1,16,189,0
getAsterisk/claudia,main,2025-10-16,313,0,0,36,10,100,234,1,7,2,0
getzep/graphiti,main,2026-08-20,4,39,100,100,23,100,359,1,12,72,1
getzep/zep,main,2026-08-19,5,20,55,100,7,100,934,1,9,127,1
ggml-org/whisper.cpp,master,2026-08-25,0,100,100,100,48,100,1923,1,22,81,0
github/github-mcp-server,main,2026-08-25,0,100,100,100,19,100,558,1,13,0,1
github/spec-kit,main,2026-08-25,0,100,100,100,18,100,545,1,25,162,1
gitleaks/gitleaks,master,2026-07-22,33,0,19,39,37,123,454,1,3,0,1
google-gemini/gemini-cli,main,2026-08-24,0,68,100,100,13,100,2997,1,47,32,1
google/langextract,main,2026-08-19,6,2,12,80,20,100,150,1,11,30,0
google/osv-scanner,main,2026-08-25,0,42,84,100,18,100,793,1,19,3,0
guardrails-ai/guardrails,main,2026-08-17,7,16,75,413,30,622,563,1,12,258,0
gusye1234/nano-graphrag,main,2026-01-27,210,0,0,2,21,107,71,1,1,15,0
harishsg993010/damn-vulnerable-MCP-server,main,2025-12-07,260,0,0,6,7,23,74,0,0,5,0
hesreallyhim/awesome-claude-code,main,2026-08-25,0,100,100,100,1,100,56,1,5,6,1
humanlayer/12-factor-agents,main,2025-09-21,338,0,0,6,17,242,499,1,0,3,0
humanlayer/humanlayer,main,2026-06-18,67,0,1,878,23,1257,794,1,8,5,0
idosal/git-mcp,main,2026-05-08,109,0,0,8,13,100,173,1,2,4,1
infiniflow/ragflow,main,2026-08-25,0,100,100,100,43,100,5793,1,4,600,1
invariantlabs-ai/mcp-scan,main,2026-08-24,1,49,175,238,15,238,421,1,1,339,1
jdx/mise,main,2026-08-25,0,100,100,100,14,100,3370,2,23,54,1
jesseduffield/lazygit,master,2026-08-18,7,196,510,510,3,510,2321,1,6,544,0
jlowin/fastmcp,main,2026-08-24,0,105,105,105,21,105,1556,1,20,421,1
jqlang/jq,master,2026-08-24,2,5,19,93,29,100,429,1,7,49,1
junegunn/fzf,master,2026-08-24,1,38,90,100,9,100,161,1,8,14,1
lancedb/lancedb,main,2026-08-25,0,100,100,100,20,100,719,1,23,89,0
langchain-ai/langgraph,main,2026-08-24,0,36,100,100,15,100,672,1,17,222,0
langchain-ai/open_deep_research,main,2026-08-10,14,3,12,30,23,143,45,1,2,12,0
langfuse/langfuse,main,2026-08-25,0,100,100,100,18,100,5373,1,30,476,1
langwatch/langwatch,main,2026-08-25,0,100,100,100,6,100,17837,1,52,4199,1
lasso-security/mcp-gateway,main,2026-01-22,215,0,0,10,5,40,43,1,1,10,0
laude-institute/terminal-bench,main,2026-07-10,45,0,1,112,38,112,2474,1,17,534,0
letta-ai/letta-code,main,2026-08-24,0,100,100,100,9,100,2063,1,15,0,0
letta-ai/letta,main,2026-08-23,1,5,8,997,23,997,12,1,1,0,1
m-bain/whisperX,main,2026-07-13,43,0,4,77,32,118,34,1,4,1,0
mariozechner/claude-trace,,CLONE_FAILED,,,,,,,,,
mcp-use/mcp-use,main,2026-08-24,0,192,223,223,10,223,2063,1,27,317,1
mem0ai/mem0,main,2026-08-24,0,93,100,100,27,100,1751,1,33,291,1
mendableai/firecrawl,main,2026-08-25,0,141,141,141,29,141,1768,1,31,294,0
meta-llama/PurpleLlama,main,2026-08-17,7,7,13,100,30,100,894,1,3,39,0
microsandbox/microsandbox,main,2026-08-24,0,169,294,294,21,294,1199,1,10,125,1
microsoft/LLMLingua,main,2025-10-28,301,0,0,3,18,85,73,1,2,3,1
microsoft/OmniParser,master,2026-07-19,36,0,2,5,16,156,78,1,0,0,1
microsoft/PyRIT,main,2026-08-25,0,100,100,100,30,100,2777,1,6,626,1
microsoft/autogen,main,2026-04-06,140,0,0,25,33,100,1837,2,12,303,1
